,team1,team2,result1,result2,date_of_match,reference
102,MASONIC,HAVU,2,0,2022-09-25,/matches/2359101/masonic-vs-havu-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
103,ex-SKADE,los kogutos,0,2,2022-09-25,/matches/2359183/ex-skade-vs-los-kogutos-cct-central-europe-series-2
104,TRAFFIC Tashkent,STORM,2,0,2022-09-25,/matches/2359200/traffic-tashkent-vs-storm-frag-club-tournament-uzbekistan-2022
105,Bravado,Nixuh,1,3,2022-09-25,/matches/2359181/bravado-vs-nixuh-telkom-vs-gaming-masters-2022
106,ECSTATIC,ENCE,2,0,2022-09-25,/matches/2359100/ecstatic-vs-ence-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
107,ex-SKADE,SINNERS,1,2,2022-09-25,/matches/2359109/ex-skade-vs-sinners-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
108,gold medalists,AirBNB Incident,0,2,2022-09-25,/matches/2359179/gold-medalists-vs-airbnb-incident-brisvegas-spring-2022
109,Strife,Nouns,1,2,2022-09-25,/matches/2359164/strife-vs-nouns-ace-north-american-masters-fall-2022-blast-premier-qualifier
110,Iron Blood,Mythic,19,15,2022-09-25,/matches/2359191/iron-blood-vs-mythic-esea-autumn-2022-cash-cup-1-north-america
111,Kari,Sojoga,14,16,2022-09-25,/matches/2359190/kari-vs-sojoga-esea-autumn-2022-cash-cup-1-north-america
112,AirBNB Incident,blingus,2,0,2022-09-25,/matches/2359178/airbnb-incident-vs-blingus-brisvegas-spring-2022
113,Black Dragons fe,W7M fe,2,0,2022-09-25,/matches/2359186/black-dragons-fe-vs-w7m-fe-esl-impact-autumn-2022-cash-cup-1-south-america
114,Paquetá,ODDIK,2,0,2022-09-25,/matches/2359168/paquet-vs-oddik-cct-south-america-series-2
115,TeamOne,EG White,2,0,2022-09-25,/matches/2359163/teamone-vs-eg-white-ace-north-american-masters-fall-2022-blast-premier-qualifier
116,MOB,Furious,2,1,2022-09-25,/matches/2359170/mob-vs-furious-americas-supercup-2022
117,Daotsu,Sharks,0,2,2022-09-25,/matches/2359167/daotsu-vs-sharks-cct-south-america-series-2
118,Paquetá,FURIA Academy,2,0,2022-09-23,/matches/2359047/paquet-vs-furia-academy-cct-south-america-series-2
119,ONYX,SINNERS,2,16,2022-09-23,/matches/2359105/onyx-vs-sinners-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
120,Nouns,TeamOne,7,16,2022-09-23,/matches/2359138/nouns-vs-teamone-ace-north-american-masters-fall-2022-blast-premier-qualifier
121,LeeK,MASONIC,2,1,2022-09-23,/matches/2359078/leek-vs-masonic-esea-advanced-season-42-europe
122,River Plate,MOB,16,10,2022-09-23,/matches/2359123/river-plate-vs-mob-americas-supercup-2022
123,ODDIK,Daotsu,2,0,2022-09-23,/matches/2359088/oddik-vs-daotsu-kabum-challenge-cup-2
124,MOUZ,SINNERS,16,14,2022-09-23,/matches/2359104/mouz-vs-sinners-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
125,Liquid,FURIA,1,2,2022-09-23,/matches/2357746/liquid-vs-furia-esl-pro-league-season-16
126,TeamOne,BHOP,25,23,2022-09-23,/matches/2359130/teamone-vs-bhop-ace-north-american-masters-fall-2022-blast-premier-qualifier
127,Apeks,Enterprise,1,2,2022-09-23,/matches/2359117/apeks-vs-enterprise-cct-central-europe-series-2
128,ALTERNATE aTTaX,LDLC,1,2,2022-09-23,/matches/2359083/alternate-attax-vs-ldlc-esea-advanced-season-42-europe
129,HOTU,Zero Tenacity,2,0,2022-09-23,/matches/2359113/hotu-vs-zero-tenacity-scl-season-6
