,team1,team2,result1,result2,date_of_match,reference
130,markeloff's Team,Edward's Team,0,3,2022-09-23,/matches/2359114/markeloffs-team-vs-edwards-team-showmatch-csgo
131,ONYX,Nexus,19,16,2022-09-23,/matches/2359103/onyx-vs-nexus-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
132,Meta BR,Ape Gang,12,16,2022-09-23,/matches/2359122/meta-br-vs-ape-gang-americas-supercup-2022
133,ECLOT,9 Pandas,2,1,2022-09-23,/matches/2359057/eclot-vs-9-pandas-esea-advanced-season-42-europe
134,Nouns,Sojoga,16,11,2022-09-23,/matches/2359129/nouns-vs-sojoga-ace-north-american-masters-fall-2022-blast-premier-qualifier
135,Into the Breach,xDDDD,2,0,2022-09-23,/matches/2359081/into-the-breach-vs-xdddd-esea-advanced-season-42-europe
136,ARCRED,NeedDOCTOR,2,0,2022-09-23,/matches/2359082/arcred-vs-needdoctor-esea-advanced-season-42-europe
137,Aurora,B8,2,0,2022-09-23,/matches/2359073/aurora-vs-b8-esea-advanced-season-42-europe
138,SINNERS,Nexus,16,10,2022-09-23,/matches/2358955/sinners-vs-nexus-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
139,FTW,BIG Academy,1,2,2022-09-23,/matches/2359116/ftw-vs-big-academy-cct-central-europe-series-2
140,MASONIC,Lilmix,16,7,2022-09-23,/matches/2359096/masonic-vs-lilmix-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
141,OneTap,EYEBALLERS,0,2,2022-09-23,/matches/2359072/onetap-vs-eyeballers-esea-advanced-season-42-europe
142,Arvum,Fluxo,0,1,2022-09-23,/matches/2359046/arvum-vs-fluxo-cct-south-america-series-2
143,Eternal Fire,Evil Geniuses,0,2,2022-09-23,/matches/2357745/eternal-fire-vs-evil-geniuses-esl-pro-league-season-16
144,WINDINGO,Sharks,0,2,2022-09-23,/matches/2359045/windingo-vs-sharks-cct-south-america-series-2
145,MOUZ,ONYX,16,1,2022-09-23,/matches/2358954/mouz-vs-onyx-twr-eastern-european-masters-fall-2022-blast-premier-qualifier
146,DUSTY,Lilmix,6,16,2022-09-23,/matches/2359095/dusty-vs-lilmix-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
147,ECSTATIC,MASONIC,19,16,2022-09-23,/matches/2359094/ecstatic-vs-masonic-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
148,Goliath,blacklaminate,2,1,2022-09-23,/matches/2359007/goliath-vs-blacklaminate-telkom-vs-gaming-masters-2022
149,ex-SKADE,Nexus,2,0,2022-09-23,/matches/2359115/ex-skade-vs-nexus-cct-central-europe-series-2
150,EC Brugge,Sangal,0,2,2022-09-23,/matches/2359058/ec-brugge-vs-sangal-esea-advanced-season-42-europe
151,Cloud9,Movistar Riders,2,0,2022-09-23,/matches/2357744/cloud9-vs-movistar-riders-esl-pro-league-season-16
152,MASONIC,Lilmix,16,3,2022-09-23,/matches/2359065/masonic-vs-lilmix-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
153,ECSTATIC,DUSTY,16,13,2022-09-23,/matches/2359064/ecstatic-vs-dusty-pelaajat-nordic-masters-fall-2022-blast-premier-qualifier
154,Infinity,Magic School Bus,1,2,2022-09-23,/matches/2359090/infinity-vs-magic-school-bus-esea-advanced-season-42-north-america
155,Red Wolves,REIGN,2,1,2022-09-23,/matches/2359093/red-wolves-vs-reign-esea-advanced-season-42-north-america
156,Villainous Union,Snakes Den,1,2,2022-09-23,/matches/2359091/villainous-union-vs-snakes-den-esea-advanced-season-42-north-america
157,MIBR Academy,Isurus,1,2,2022-09-23,/matches/2359044/mibr-academy-vs-isurus-cct-south-america-series-2
158,Eros,X13,0,2,2022-09-23,/matches/2359092/eros-vs-x13-esea-advanced-season-42-north-america
159,Brazen,Kari,2,1,2022-09-23,/matches/2359002/brazen-vs-kari-esl-challenger-league-season-42-north-america
160,Detonate,ATK,0,2,2022-09-23,/matches/2358906/detonate-vs-atk-esl-challenger-league-season-42-north-america
161,Los Grandes Academy,Daotsu,1,2,2022-09-23,/matches/2359087/los-grandes-academy-vs-daotsu-kabum-challenge-cup-2
162,9z Academy,Mad Kings,1,2,2022-09-23,/matches/2359121/9z-academy-vs-mad-kings-americas-supercup-2022
163,TeamOne,Unjustified,2,0,2022-09-23,/matches/2358802/teamone-vs-unjustified-esl-challenger-league-season-42-north-america
164,BHOP,ATK,2,1,2022-09-23,/matches/2358873/bhop-vs-atk-esl-challenger-league-season-42-north-america
165,FUSION,Daotsu,1,2,2022-09-23,/matches/2359043/fusion-vs-daotsu-cct-south-america-series-2
166,EG Black,TeamOne,0,2,2022-09-23,/matches/2358794/eg-black-vs-teamone-esl-challenger-league-season-42-north-america
167,MOB,Mad Kings,2,0,2022-09-23,/matches/2359086/mob-vs-mad-kings-americas-supercup-2022
168,FaZe,Complexity,2,1,2022-09-27,/matches/2358325/faze-vs-complexity-esl-pro-league-season-16
169,LDLC,ex-SKADE,1,2,2022-09-27,/matches/2359212/ldlc-vs-ex-skade-esea-advanced-season-42-europe
170,HEET,SINNERS,2,1,2022-09-27,/matches/2358307/heet-vs-sinners-esl-challenger-league-season-42-europe
171,Endpoint,K23,1,0,2022-09-27,/matches/2359207/endpoint-vs-k23-cct-central-europe-series-2
172,fnatic,Liquid,1,2,2022-09-27,/matches/2358326/fnatic-vs-liquid-esl-pro-league-season-16
173,EYEBALLERS,ECLOT,0,2,2022-09-27,/matches/2359144/eyeballers-vs-eclot-elisa-invitational-fall-2022
174,Sprout,Bad News Eagles,1,2,2022-09-27,/matches/2359143/sprout-vs-bad-news-eagles-elisa-invitational-fall-2022
175,VERTEX,CAMO,2,0,2022-09-27,/matches/2359220/vertex-vs-camo-lpl-pro-league-season-11
176,yellow,Nut-E,0,1,2022-09-27,/matches/2359221/yellow-vs-nut-e-lpl-pro-league-season-11
177,Villainous Union,LAG,2,1,2022-09-27,/matches/2359136/villainous-union-vs-lag-esea-advanced-season-42-north-america
178,REIGN,Earlybirds,0,2,2022-09-27,/matches/2359135/reign-vs-earlybirds-esea-advanced-season-42-north-america
179,EG Black,Mythic,2,0,2022-09-27,/matches/2358574/eg-black-vs-mythic-esl-challenger-league-season-42-north-america
180,Victorum,BHOP,0,2,2022-09-27,/matches/2358573/victorum-vs-bhop-esl-challenger-league-season-42-north-america
181,Meta BR,River Plate,2,1,2022-09-27,/matches/2359215/meta-br-vs-river-plate-americas-supercup-2022
182,Sangal,Aurora,2,0,2022-10-07,/matches/2359394/sangal-vs-aurora-esea-advanced-season-42-europe
183,Astralis,forZe,0,2,2022-10-07,/matches/2358440/astralis-vs-forze-iem-road-to-rio-2022-europe-rmr-a
184,G2,GamerLegion,1,2,2022-10-07,/matches/2358439/g2-vs-gamerlegion-iem-road-to-rio-2022-europe-rmr-a
185,Nouns,O PLANO,2,1,2022-10-07,/matches/2358376/nouns-vs-o-plano-iem-road-to-rio-2022-americas-rmr
186,Complexity,00NATION,1,2,2022-10-07,/matches/2358375/complexity-vs-00nation-iem-road-to-rio-2022-americas-rmr
187,fnatic,Eternal Fire,2,0,2022-10-07,/matches/2358438/fnatic-vs-eternal-fire-iem-road-to-rio-2022-europe-rmr-a
188,Enterprise,Entropiq Prague,2,1,2022-10-07,/matches/2359334/enterprise-vs-entropiq-prague-sazka-eleague-fall-2022-finals
189,B8,Sprout,1,2,2022-10-07,/matches/2358437/b8-vs-sprout-iem-road-to-rio-2022-europe-rmr-a
190,Cloud9,1WIN,2,0,2022-10-07,/matches/2358436/cloud9-vs-1win-iem-road-to-rio-2022-europe-rmr-a
191,Spirit,Bad News Eagles,2,0,2022-10-07,/matches/2358435/spirit-vs-bad-news-eagles-iem-road-to-rio-2022-europe-rmr-a
192,FURIA,paiN,2,0,2022-10-07,/matches/2358373/furia-vs-pain-iem-road-to-rio-2022-americas-rmr
193,FANTASY,Illuminar,1,2,2022-10-07,/matches/2358434/fantasy-vs-illuminar-iem-road-to-rio-2022-europe-rmr-b
194,HEET,SAW,2,1,2022-10-07,/matches/2358433/heet-vs-saw-iem-road-to-rio-2022-europe-rmr-b
195,ATK,9z,0,2,2022-10-07,/matches/2358374/atk-vs-9z-iem-road-to-rio-2022-americas-rmr
196,SINNERS,eSuba,0,2,2022-10-07,/matches/2359333/sinners-vs-esuba-sazka-eleague-fall-2022-finals
197,ENCE,BIG,2,0,2022-10-07,/matches/2358432/ence-vs-big-iem-road-to-rio-2022-europe-rmr-b
198,Grayhound,Rare Atom,2,1,2022-10-07,/matches/2358253/grayhound-vs-rare-atom-iem-road-to-rio-2022-asia-rmr
199,IHC,JiJieHao International,2,0,2022-10-07,/matches/2358252/ihc-vs-jijiehao-international-iem-road-to-rio-2022-asia-rmr
200,AVEZ,los kogutos,2,1,2022-10-10,/matches/2359436/avez-vs-los-kogutos-cct-central-europe-series-3-closed-qualifier
201,Cryptova,AVANGAR,2,1,2022-10-10,/matches/2359531/cryptova-vs-avangar-cct-central-europe-series-3-closed-qualifier
202,BLUEJAYS,WLG,2,0,2022-10-10,/matches/2359409/bluejays-vs-wlg-cct-south-europe-series-1
203,Tricked,NeedDOCTOR,2,0,2022-10-10,/matches/2359408/tricked-vs-needdoctor-cct-south-europe-series-1
204,AVANGAR,Anonymo,2,0,2022-10-10,/matches/2359435/avangar-vs-anonymo-cct-central-europe-series-3-closed-qualifier
205,los kogutos,Beyond Possible,2,0,2022-10-10,/matches/2359433/los-kogutos-vs-beyond-possible-cct-central-europe-series-3-closed-qualifier
206,SINNERS,Sashi,2,1,2022-10-10,/matches/2359348/sinners-vs-sashi-elisa-invitational-fall-2022
207,Cryptova,Entropiq Prague,0,2,2022-10-10,/matches/2359434/cryptova-vs-entropiq-prague-cct-central-europe-series-3-closed-qualifier
208,GoodJob,X,2,0,2022-10-10,/matches/2359407/goodjob-vs-x-cct-south-europe-series-1
209,ex-SKADE,Zero Tenacity,2,0,2022-10-10,/matches/2359406/ex-skade-vs-zero-tenacity-cct-south-europe-series-1
210,Magic School Bus,Villainous Union,3,1,2022-10-10,/matches/2359397/magic-school-bus-vs-villainous-union-esea-advanced-season-42-north-america
211,Complexity,Imperial,1,2,2022-10-10,/matches/2358384/complexity-vs-imperial-iem-road-to-rio-2022-americas-rmr
212,MASONIC,Tricked,2,0,2022-08-20,/matches/2358188/masonic-vs-tricked-nordic-masters-fall-2022-denmark-closed-qualifier
213,Daotsu,ex-Holkattes,2,0,2022-08-20,/matches/2358051/daotsu-vs-ex-holkattes-cct-south-america-series-1
214,JPB,SNRG,16,7,2022-08-20,/matches/2357992/jpb-vs-snrg-iem-road-to-rio-2022-middle-east-open-qualifier-2
215,Liquid,Natus Vincere,4,16,2022-08-20,/matches/2357656/liquid-vs-natus-vincere-blast-premier-fall-groups-2022
216,PremuimGods,WahWah,16,7,2022-08-20,/matches/2357990/premuimgods-vs-wahwah-iem-road-to-rio-2022-middle-east-open-qualifier-2
217,POGGERZ,NASR,7,16,2022-08-20,/matches/2357989/poggerz-vs-nasr-iem-road-to-rio-2022-middle-east-open-qualifier-2
218,Ooredoo Thunders,how bad u are,16,4,2022-08-20,/matches/2357991/ooredoo-thunders-vs-how-bad-u-are-iem-road-to-rio-2022-middle-east-open-qualifier-2
219,Tricked,Sashi,2,1,2022-08-20,/matches/2357964/tricked-vs-sashi-nordic-masters-fall-2022-denmark-closed-qualifier
220,Complexity,Natus Vincere,3,16,2022-08-20,/matches/2357653/complexity-vs-natus-vincere-blast-premier-fall-groups-2022
221,Meta BR,The Union,1,2,2022-08-20,/matches/2358050/meta-br-vs-the-union-cct-south-america-series-1
222,Natus Vincere,G2,16,14,2022-08-20,/matches/2357650/natus-vincere-vs-g2-blast-premier-fall-groups-2022
223,d54,MIRAI,12,16,2022-08-20,/matches/2357977/d54-vs-mirai-iem-road-to-rio-2022-asia-open-qualifier-2
224,Complexity,Liquid,14,16,2022-08-20,/matches/2357647/complexity-vs-liquid-blast-premier-fall-groups-2022
225,maGic,TheMongolz,6,16,2022-08-20,/matches/2357979/magic-vs-themongolz-iem-road-to-rio-2022-asia-open-qualifier-2
226,Dobegaem,D13,8,16,2022-08-20,/matches/2357978/dobegaem-vs-d13-iem-road-to-rio-2022-asia-open-qualifier-2
227,Invictus,WDNMD,11,16,2022-08-20,/matches/2357984/invictus-vs-wdnmd-iem-road-to-rio-2022-china-open-qualifier-2
228,ARAVT,Renewal,16,7,2022-08-20,/matches/2357976/aravt-vs-renewal-iem-road-to-rio-2022-asia-open-qualifier-2
229,YK,CR,13,16,2022-08-20,/matches/2357985/yk-vs-cr-iem-road-to-rio-2022-china-open-qualifier-2
230,Atlantiss,Wings Up,7,16,2022-08-20,/matches/2357986/atlantiss-vs-wings-up-iem-road-to-rio-2022-china-open-qualifier-2
231,G2,Liquid,12,16,2022-08-20,/matches/2357644/g2-vs-liquid-blast-premier-fall-groups-2022
232,TYLOO,SHPL,16,3,2022-08-20,/matches/2357983/tyloo-vs-shpl-iem-road-to-rio-2022-china-open-qualifier-2
233,MASONIC,minion bobs,2,0,2022-08-20,/matches/2357963/masonic-vs-minion-bobs-nordic-masters-fall-2022-denmark-closed-qualifier
234,Natus Vincere,Complexity,9,16,2022-08-20,/matches/2357641/natus-vincere-vs-complexity-blast-premier-fall-groups-2022
235,WINDINGO,River Plate,2,1,2022-08-20,/matches/2358049/windingo-vs-river-plate-cct-south-america-series-1
236,Redragon,MIBR Academy,2,0,2022-08-20,/matches/2358048/redragon-vs-mibr-academy-cct-south-america-series-1
237,ALTERNATE aTTaX,eSuba,1,0,2022-09-30,/matches/2359309/alternate-attax-vs-esuba-cct-south-europe-series-1-closed-qualifier
238,G2,Natus Vincere,2,1,2022-09-30,/matches/2358331/g2-vs-natus-vincere-esl-pro-league-season-16
239,eSuba,Viary,2,1,2022-09-30,/matches/2359244/esuba-vs-viary-cct-south-europe-series-1-closed-qualifier
240,Endpoint,HONORIS,2,1,2022-09-30,/matches/2359290/endpoint-vs-honoris-cct-central-europe-series-2
241,LDLC,777,2,1,2022-09-30,/matches/2359305/ldlc-vs-777-cct-north-europe-series-1-closed-qualifier
242,IMMA PROBLEM,TITANS,1,2,2022-09-30,/matches/2359307/imma-problem-vs-titans-cct-north-europe-series-1-closed-qualifier
243,9 Pandas,EC Brugge,2,0,2022-09-30,/matches/2359308/9-pandas-vs-ec-brugge-cct-south-europe-series-1-closed-qualifier
244,ECLOT,Sangal,1,2,2022-09-30,/matches/2359257/eclot-vs-sangal-esea-advanced-season-42-europe
245,Partizan,ALTERNATE aTTaX,1,2,2022-09-30,/matches/2359243/partizan-vs-alternate-attax-cct-south-europe-series-1-closed-qualifier
246,OG,SINNERS,2,0,2022-09-30,/matches/2359289/og-vs-sinners-cct-central-europe-series-2
247,Vitality,Outsiders,2,0,2022-09-30,/matches/2358332/vitality-vs-outsiders-esl-pro-league-season-16
248,SKADE X,TITANS,0,2,2022-09-30,/matches/2359256/skade-x-vs-titans-cct-north-europe-series-1-closed-qualifier
249,EC Brugge,ToA,2,0,2022-09-30,/matches/2359242/ec-brugge-vs-toa-cct-south-europe-series-1-closed-qualifier
250,Nemiga,777,0,2,2022-09-30,/matches/2359254/nemiga-vs-777-cct-north-europe-series-1-closed-qualifier
251,Finest,forZe,0,2,2022-09-30,/matches/2359288/finest-vs-forze-cct-central-europe-series-2
252,HOTU,Iron Branch,0,2,2022-09-30,/matches/2359286/hotu-vs-iron-branch-esea-advanced-season-42-europe
253,LDLC,SMIX,2,1,2022-09-30,/matches/2359253/ldlc-vs-smix-cct-north-europe-series-1-closed-qualifier
254,JANO,IMMA PROBLEM,1,2,2022-09-30,/matches/2359255/jano-vs-imma-problem-cct-north-europe-series-1-closed-qualifier
255,9 Pandas,Illyrians,2,0,2022-09-30,/matches/2359241/9-pandas-vs-illyrians-cct-south-europe-series-1-closed-qualifier
256,Entropiq,Into the Breach,1,2,2022-09-30,/matches/2359281/entropiq-vs-into-the-breach-cct-central-europe-series-2
257,Sprout,K23,1,0,2022-09-30,/matches/2357818/sprout-vs-k23-esl-challenger-league-season-42-europe
258,Phantom Troupe,Victorum,2,1,2022-09-30,/matches/2359282/phantom-troupe-vs-victorum-cct-north-america-series-1
259,Snakes Den,Eros,2,1,2022-09-30,/matches/2359261/snakes-den-vs-eros-esea-advanced-season-42-north-america
260,Brazen,REIGN,1,2,2022-09-30,/matches/2359278/brazen-vs-reign-cct-north-america-series-1
261,X13,Villainous Union,1,2,2022-09-30,/matches/2359262/x13-vs-villainous-union-esea-advanced-season-42-north-america
262,EG Black,Davenport University,1,2,2022-09-30,/matches/2359276/eg-black-vs-davenport-university-cct-north-america-series-1
263,Isurus,MOB,2,0,2022-09-30,/matches/2359228/isurus-vs-mob-americas-supercup-2022
264,EKO,tokyoxd,2,0,2022-08-30,/matches/2358474/eko-vs-tokyoxd-steelseries-nova-cup-uk-ireland-fall-2022
265,forZe,9INE,1,2,2022-08-30,/matches/2357811/forze-vs-9ine-esl-challenger-league-season-42-europe
266,1WIN,SAW,2,0,2022-08-30,/matches/2357812/1win-vs-saw-esl-challenger-league-season-42-europe
267,Enterprise,EC Kyiv,2,0,2022-08-30,/matches/2358455/enterprise-vs-ec-kyiv-cct-central-europe-series-1
268,cowana,Sangal,0,2,2022-08-30,/matches/2358473/cowana-vs-sangal-steelseries-nova-cup-dach-fall-2022
269,Goliath,Bravado,1,2,2022-08-30,/matches/2358486/goliath-vs-bravado-esl-challenger-rotterdam-2022-south-africa-open-qualifier-1
270,tokyoxd,Legates,2,0,2022-08-30,/matches/2358297/tokyoxd-vs-legates-steelseries-nova-cup-uk-ireland-fall-2022
271,EKO,BLVKHVND,2,1,2022-08-30,/matches/2358298/eko-vs-blvkhvnd-steelseries-nova-cup-uk-ireland-fall-2022
272,Nixuh,DNMK,2,0,2022-08-30,/matches/2358485/nixuh-vs-dnmk-esl-challenger-rotterdam-2022-south-africa-open-qualifier-1
273,LDLC,PIGNOUF,2,0,2022-08-30,/matches/2358472/ldlc-vs-pignouf-steelseries-nova-cup-france-fall-2022
274,Beyond Possible,Illuminar,2,0,2022-08-30,/matches/2358454/beyond-possible-vs-illuminar-cct-central-europe-series-1
275,PROSPECTS,Sashi,1,2,2022-08-30,/matches/2358264/prospects-vs-sashi-elisa-invitational-fall-2022-contenders
276,Sprout,schadE halt,2,0,2022-08-30,/matches/2358483/sprout-vs-schade-halt-steelseries-nova-cup-dach-fall-2022
277,Falcons,Ambush,2,0,2022-08-30,/matches/2358471/falcons-vs-ambush-steelseries-nova-cup-france-fall-2022
278,SKADE,SC,2,0,2022-08-30,/matches/2358453/skade-vs-sc-cct-central-europe-series-1
279,Hotspurs,ECLOT,2,1,2022-08-30,/matches/2358263/hotspurs-vs-eclot-elisa-invitational-fall-2022-contenders
280,Sangal,schadE halt,2,0,2022-08-30,/matches/2358385/sangal-vs-schade-halt-steelseries-nova-cup-dach-fall-2022
281,Monte,SC,1,0,2022-08-25,/matches/2358247/monte-vs-sc-cct-central-europe-series-1
282,Tricked,Monte,2,1,2022-08-25,/matches/2358234/tricked-vs-monte-cct-central-europe-series-1
283,9z,Stars Horizon,2,0,2022-08-25,/matches/2358238/9z-vs-stars-horizon-cct-south-america-series-1
284,G2,BIG,2,0,2022-08-25,/matches/2357659/g2-vs-big-blast-premier-fall-groups-2022
285,Fluxo,The Union,2,1,2022-08-25,/matches/2358237/fluxo-vs-the-union-cct-south-america-series-1
286,Enterprise,Aurora,0,2,2022-08-25,/matches/2358233/enterprise-vs-aurora-cct-central-europe-series-1
287,Ninjas in Pyjamas,Evil Geniuses,2,1,2022-08-25,/matches/2357660/ninjas-in-pyjamas-vs-evil-geniuses-blast-premier-fall-groups-2022
288,ARCTIC,Redragon,2,0,2022-08-25,/matches/2358236/arctic-vs-redragon-cct-south-america-series-1
289,B8,Into the Breach,0,2,2022-08-25,/matches/2358083/b8-vs-into-the-breach-elisa-invitational-fall-2022-contenders
290,OG,Complexity,2,0,2022-08-25,/matches/2357658/og-vs-complexity-blast-premier-fall-groups-2022
291,SKADE,PALOMA,2,0,2022-08-25,/matches/2358232/skade-vs-paloma-cct-central-europe-series-1
292,EYEBALLERS,JANO,2,0,2022-08-25,/matches/2358081/eyeballers-vs-jano-elisa-invitational-fall-2022-contenders
293,ECLOT,Illuminar,2,0,2022-08-25,/matches/2358231/eclot-vs-illuminar-cct-central-europe-series-1
294,TeamOne,Mythic,2,0,2022-08-25,/matches/2358197/teamone-vs-mythic-esl-challenger-league-season-42-north-america
295,Squirtle Squad,timbermen,2,0,2022-08-25,/matches/2358198/squirtle-squad-vs-timbermen-esl-challenger-league-season-42-north-america
296,Billionaires,Vendetta,1,2,2022-10-17,/matches/2359680/billionaires-vs-vendetta-esea-autumn-2022-cash-cup-2-north-america
297,ATK,Iron Blood,2,0,2022-10-17,/matches/2359681/atk-vs-iron-blood-esea-autumn-2022-cash-cup-2-north-america
298,paiN,Spirit,1,2,2022-10-17,/matches/2359560/pain-vs-spirit-flow-fireleague-2022-global-finals
299,Ambush,PIGNOUF,0,2,2022-08-29,/matches/2358386/ambush-vs-pignouf-steelseries-nova-cup-france-fall-2022
300,ALTERNATE aTTaX,schadE halt,1,2,2022-08-29,/matches/2358292/alternate-attax-vs-schade-halt-steelseries-nova-cup-dach-fall-2022
301,SKADE,Tricked,0,2,2022-08-29,/matches/2358277/skade-vs-tricked-cct-central-europe-series-1
302,Exalty,PIGNOUF,0,2,2022-08-29,/matches/2358295/exalty-vs-pignouf-steelseries-nova-cup-france-fall-2022
303,Ambush,Ennemi,2,0,2022-08-29,/matches/2358296/ambush-vs-ennemi-steelseries-nova-cup-france-fall-2022
304,Sangal,SSP,2,0,2022-08-29,/matches/2358293/sangal-vs-ssp-steelseries-nova-cup-dach-fall-2022
305,Monte,Illuminar,2,0,2022-08-29,/matches/2358276/monte-vs-illuminar-cct-central-europe-series-1
306,EKO,Temperate,2,3,2022-08-29,/matches/2358290/eko-vs-temperate-insomnia69
307,yodagus,schadE halt,1,2,2022-08-29,/matches/2358262/yodagus-vs-schade-halt-elisa-invitational-fall-2022-contenders
308,EC Kyiv,PALOMA,0,2,2022-08-29,/matches/2358275/ec-kyiv-vs-paloma-cct-central-europe-series-1
309,KOVA,777,0,2,2022-08-29,/matches/2358261/kova-vs-777-elisa-invitational-fall-2022-contenders
310,Brazen,timbermen,0,2,2022-08-29,/matches/2358199/brazen-vs-timbermen-egl-premier-season-3
311,paiN,Fluxo,0,2,2022-08-29,/matches/2358294/pain-vs-fluxo-cct-south-america-series-1
312,G2,Vitality,2,1,2022-08-29,/matches/2357669/g2-vs-vitality-blast-premier-fall-groups-2022
313,Forward,Illuminar,1,2,2022-08-29,/matches/2358154/forward-vs-illuminar-iem-road-to-rio-2022-europe-open-qualifier-4
314,Fluxo,ODDIK,2,0,2022-08-29,/matches/2358279/fluxo-vs-oddik-cct-south-america-series-1
315,Tricked,Brøndby,2,0,2022-10-14,/matches/2359637/tricked-vs-brndby-npf-invitational-2022
316,Entropiq,Sprout,2,1,2022-10-14,/matches/2358308/entropiq-vs-sprout-esl-challenger-league-season-42-europe
317,ex-TITANS,BLUEJAYS,1,2,2022-10-14,/matches/2359594/ex-titans-vs-bluejays-cct-north-europe-series-1
318,Lilmix,Kappa Bar,2,0,2022-10-14,/matches/2359401/lilmix-vs-kappa-bar-svenska-cupen-2022
319,AGO,UNGENTIUM,2,1,2022-10-14,/matches/2359629/ago-vs-ungentium-esl-challenger-league-season-42-europe-relegation
320,PROSPECTS,BIG Academy,16,19,2022-10-14,/matches/2359466/prospects-vs-big-academy-weplay-academy-league-season-6
321,X,WLG,2,0,2022-10-14,/matches/2359621/x-vs-wlg-cct-south-europe-series-1
322,ECLOT,eSuba,2,1,2022-10-14,/matches/2359617/eclot-vs-esuba-slovak-national-championship-2022
323,MOUZ,Movistar Riders,16,8,2022-10-14,/matches/2359548/mouz-vs-movistar-riders-esl-challenger-rotterdam-2022
324,paiN,MASONIC,2,1,2022-10-14,/matches/2359376/pain-vs-masonic-flow-fireleague-2022-global-finals
325,Flames Ascent,fnatic Rising,6,16,2022-10-14,/matches/2359465/flames-ascent-vs-fnatic-rising-weplay-academy-league-season-6
326,Nexus,OneTap,1,2,2022-10-14,/matches/2359534/nexus-vs-onetap-jaxi-league-balkan-series-2022
327,Tricked,IKLA,2,0,2022-10-14,/matches/2359620/tricked-vs-ikla-cct-south-europe-series-1
328,ENCE,Outsiders,16,14,2022-10-14,/matches/2359547/ence-vs-outsiders-esl-challenger-rotterdam-2022
329,ENCE Academy,MIBR Academy,16,9,2022-10-14,/matches/2359464/ence-academy-vs-mibr-academy-weplay-academy-league-season-6
330,EYEBALLERS,PROSPECTS,2,0,2022-10-14,/matches/2359400/eyeballers-vs-prospects-svenska-cupen-2022
331,Copenhagen Flames,Nemiga,0,2,2022-10-14,/matches/2359593/copenhagen-flames-vs-nemiga-cct-north-europe-series-1
332,Flames Ascent,OG Academy,16,11,2022-10-14,/matches/2359463/flames-ascent-vs-og-academy-weplay-academy-league-season-6
